units,layers,activation,optimizer,lr,dropout,l2_strength,trial_id,status,val_auc,val_precision,val_recall,val_accuracy,val_loss
48,1,tanh,rmsprop,0.001,0.2,0.0001,0471,COMPLETED,0.8829823732376099,0.7004608511924744,0.5066666603088379,0.8937655687332153,0.2812052071094513
240,2,relu,adam,0.0003,0.2,0.001,1573,COMPLETED,0.8829081058502197,0.7242990732192993,0.5166666507720947,0.8982543349266052,0.34355688095092773
48,3,tanh,adam,0.01,0.2,0.0,1396,COMPLETED,0.8829041719436646,0.7128205299377441,0.4633333384990692,0.891770601272583,0.27135607600212097
240,4,relu,adam,0.0003,0.4,1e-06,1133,COMPLETED,0.8829022645950317,0.7066115736961365,0.5699999928474426,0.9002493619918823,0.27931472659111023
176,1,tanh,adam,0.001,0.30000000000000004,1e-05,1219,COMPLETED,0.8828875422477722,0.7297297120094299,0.5400000214576721,0.9012469053268433,0.278825968503952
112,1,relu,adam,0.001,0.2,0.001,0367,COMPLETED,0.8828787803649902,0.7194570302963257,0.5299999713897705,0.8987531065940857,0.2940170466899872
80,1,elu,adam,0.0003,0.4,1e-05,0388,COMPLETED,0.8828787803649902,0.7136563658714294,0.5400000214576721,0.8987531065940857,0.27692440152168274
176,4,elu,adam,0.001,0.0,0.001,0690,COMPLETED,0.8828768730163574,0.7177033424377441,0.5,0.8957605957984924,0.2888569235801697
96,2,tanh,rmsprop,0.001,0.30000000000000004,0.0,1782,COMPLETED,0.8828729391098022,0.7244898080825806,0.47333332896232605,0.8942643404006958,0.27124956250190735
224,1,elu,rmsprop,0.001,0.0,0.0,1444,COMPLETED,0.8828651309013367,0.7259615659713745,0.503333330154419,0.8972568511962891,0.2703746259212494
144,2,relu,adam,0.0003,0.4,1e-05,1657,COMPLETED,0.8828641176223755,0.7298578023910522,0.5133333206176758,0.8987531065940857,0.27867141366004944
32,3,tanh,adam,0.001,0.30000000000000004,1e-06,0679,COMPLETED,0.8828563094139099,0.6958333253860474,0.5566666722297668,0.8972568511962891,0.2719072997570038
144,2,tanh,adam,0.003,0.4,1e-05,1722,COMPLETED,0.8828485012054443,0.7090908885002136,0.5199999809265137,0.8962593674659729,0.28956979513168335
192,3,tanh,adam,0.001,0.30000000000000004,0.0,1357,COMPLETED,0.8827899098396301,0.7311320900917053,0.5166666507720947,0.8992518782615662,0.27114513516426086
160,4,elu,adam,0.0003,0.4,0.0001,0141,COMPLETED,0.8827840089797974,0.7049180269241333,0.5733333230018616,0.9002493619918823,0.3081696629524231
192,4,tanh,adam,0.0003,0.30000000000000004,0.0,1451,COMPLETED,0.8827829957008362,0.6872428059577942,0.5566666722297668,0.8957605957984924,0.27582669258117676
128,1,elu,adam,0.001,0.30000000000000004,0.0001,0066,COMPLETED,0.8827810287475586,0.7405660152435303,0.5233333110809326,0.9012469053268433,0.28609567880630493
16,1,relu,adam,0.001,0.2,0.0,1378,COMPLETED,0.8827614784240723,0.7246376872062683,0.5,0.8967580795288086,0.2790769040584564
32,3,relu,adam,0.003,0.4,0.0001,0323,COMPLETED,0.8827556371688843,0.7355769276618958,0.5099999904632568,0.8992518782615662,0.28708335757255554
32,3,relu,adam,0.003,0.30000000000000004,0.0,0747,COMPLETED,0.8827321529388428,0.7195122241973877,0.5899999737739563,0.9042394161224365,0.27647730708122253
240,3,tanh,rmsprop,0.001,0.4,1e-06,1666,COMPLETED,0.882717490196228,0.7424242496490479,0.49000000953674316,0.8982543349266052,0.27064499258995056
64,1,relu,adam,0.0003,0.1,0.0,1870,COMPLETED,0.8827126026153564,0.7111111283302307,0.5333333611488342,0.8977556228637695,0.2793002128601074
144,3,tanh,rmsprop,0.0003,0.0,0.001,0365,COMPLETED,0.882705807685852,0.7414634227752686,0.5066666603088379,0.8997506499290466,0.3035445809364319
144,4,elu,adam,0.0003,0.4,0.0,1777,COMPLETED,0.8826881647109985,0.692307710647583,0.6000000238418579,0.9002493619918823,0.2715354859828949
48,3,elu,rmsprop,0.003,0.0,0.001,0673,COMPLETED,0.882674515247345,0.7233009934425354,0.49666666984558105,0.8962593674659729,0.29273492097854614
112,4,tanh,rmsprop,0.0003,0.1,1e-06,1450,COMPLETED,0.8826735019683838,0.7527472376823425,0.4566666781902313,0.8962593674659729,0.2710053026676178
16,3,relu,adam,0.0003,0.1,0.001,1252,COMPLETED,0.8826597929000854,0.7136563658714294,0.5400000214576721,0.8987531065940857,0.3056884706020355
128,1,tanh,rmsprop,0.001,0.1,1e-06,0086,COMPLETED,0.8826451301574707,0.7109004855155945,0.5,0.8947631120681763,0.27178290486335754
128,1,tanh,rmsprop,0.003,0.1,1e-06,0517,COMPLETED,0.8826402425765991,0.7227723002433777,0.4866666793823242,0.895261824131012,0.2703793942928314
