units,layers,activation,optimizer,lr,dropout,l2_strength,trial_id,status,val_auc,val_precision,val_recall,val_accuracy,val_loss
192,1,tanh,adam,0.0003,0.30000000000000004,0.0001,133,COMPLETED,0.8812198638916016,0.7336448431015015,0.5233333110809326,0.9002493619918823,0.28774547576904297
192,3,relu,adam,0.001,0.30000000000000004,1e-05,183,COMPLETED,0.8811808824539185,0.7061403393745422,0.5366666913032532,0.8972568511962891,0.2832859456539154
96,3,relu,adam,0.0003,0.1,0.0,098,COMPLETED,0.8811622262001038,0.7058823704719543,0.5600000023841858,0.8992518782615662,0.28494468331336975
96,1,relu,adam,0.0003,0.2,0.0,139,COMPLETED,0.8811153173446655,0.719298243522644,0.54666668176651,0.9002493619918823,0.2820182740688324
112,3,tanh,adam,0.0003,0.30000000000000004,1e-05,062,COMPLETED,0.8811026215553284,0.700421929359436,0.5533333420753479,0.8977556228637695,0.2778320610523224
128,1,relu,adam,0.001,0.1,0.0001,060,COMPLETED,0.8809902667999268,0.7217391133308411,0.5533333420753479,0.9012469053268433,0.2877509891986847
192,2,tanh,adam,0.0003,0.0,1e-06,177,COMPLETED,0.8809374570846558,0.7427184581756592,0.5099999904632568,0.9002493619918823,0.27628397941589355
48,3,relu,adam,0.0003,0.30000000000000004,1e-05,195,COMPLETED,0.8809217810630798,0.7224669456481934,0.54666668176651,0.9007481336593628,0.27679774165153503
112,1,tanh,adam,0.0003,0.0,0.0,017,COMPLETED,0.8808445930480957,0.7169811129570007,0.5066666603088379,0.8962593674659729,0.2746327221393585
48,2,relu,adam,0.001,0.1,0.0001,181,COMPLETED,0.880827009677887,0.7268518805503845,0.5233333110809326,0.8992518782615662,0.288763165473938
144,1,relu,adam,0.0003,0.4,0.0,078,COMPLETED,0.8807663917541504,0.7285068035125732,0.5366666913032532,0.9007481336593628,0.2777213752269745
96,1,relu,adam,0.001,0.0,1e-06,180,COMPLETED,0.8807516694068909,0.7232142686843872,0.5400000214576721,0.9002493619918823,0.2789542078971863
128,2,tanh,adam,0.001,0.2,0.0,146,COMPLETED,0.880724310874939,0.7260273694992065,0.5299999713897705,0.8997506499290466,0.27712953090667725
48,3,tanh,adam,0.001,0.30000000000000004,1e-05,093,COMPLETED,0.8807125687599182,0.7031963467597961,0.5133333206176758,0.8947631120681763,0.2720600962638855
80,1,relu,adam,0.0003,0.30000000000000004,0.0,047,COMPLETED,0.8806794285774231,0.7292576432228088,0.5566666722297668,0.9027431607246399,0.2829245924949646
32,1,tanh,adam,0.0003,0.1,0.0001,169,COMPLETED,0.8806226849555969,0.7136563658714294,0.5400000214576721,0.8987531065940857,0.2769278585910797
32,4,tanh,adam,0.001,0.1,1e-05,129,COMPLETED,0.8805708885192871,0.6978723406791687,0.54666668176651,0.8967580795288086,0.2751710116863251
112,1,tanh,adam,0.0003,0.30000000000000004,0.0,192,COMPLETED,0.8805288076400757,0.7211538553237915,0.5,0.8962593674659729,0.2725989520549774
112,1,relu,adam,0.001,0.1,1e-05,010,COMPLETED,0.8805043697357178,0.7376237511634827,0.49666666984558105,0.8982543349266052,0.2794853448867798
192,3,tanh,adam,0.0003,0.2,0.0,118,COMPLETED,0.8804662823677063,0.7188940048217773,0.5199999809265137,0.8977556228637695,0.27563270926475525
144,2,relu,adam,0.001,0.4,0.0,197,COMPLETED,0.8803626298904419,0.7227272987365723,0.5299999713897705,0.8992518782615662,0.2758713662624359
32,3,tanh,adam,0.001,0.30000000000000004,0.0,121,COMPLETED,0.8803597092628479,0.6970954537391663,0.5600000023841858,0.8977556228637695,0.2729487121105194
112,1,tanh,adam,0.001,0.2,1e-06,151,COMPLETED,0.8803039789199829,0.7428571581840515,0.5199999809265137,0.9012469053268433,0.2767922282218933
64,1,tanh,adam,0.001,0.2,0.0,038,COMPLETED,0.8802952170372009,0.7200000286102295,0.5400000214576721,0.8997506499290466,0.27726560831069946
96,4,tanh,adam,0.001,0.1,0.0,131,COMPLETED,0.8800811171531677,0.7386934757232666,0.49000000953674316,0.8977556228637695,0.2734604477882385
192,1,tanh,adam,0.001,0.2,0.0001,032,COMPLETED,0.8800733089447021,0.7358490824699402,0.5199999809265137,0.9002493619918823,0.2903696298599243
96,2,tanh,adam,0.001,0.1,0.0,158,COMPLETED,0.8800381422042847,0.7339449524879456,0.5333333611488342,0.9012469053268433,0.2756172716617584
